"No.","Frequency[MHz]","Scan","Name"
"1","87.200","Add","Radio Agapi"
"2","87.600","Add","Laikos FM"
"3","88.000","Add","NET 105.8"
"4","88.200","Add","Proto Erasitehni"
"5","88.500","Add","Radio 88.5"
"6","89.000","Add","89 Rainbow"
"7","89.400","Add","Thess Deejay"
"8","89.700","Add","Imagine 897"
"9","90.000","Add","ERA 2"
"10","90.400","Add","90.4 Aristera FM"
"11","90.800","Add","Zoo Radio"
"12","91.100","Add","Radio 91.1 FM"
"13","91.400","Add","Ola 91.4"
"14","91.700","Add","RSO 91.7"
"15","92.000","Add","ERA 3"
"16","92.400","Add","Radio Ekfrasi"
"17","92.800","Add","Aris FM"
"18","93.100","Add","Heart FM"
"19","93.400","Add","Mythos sta FM"
"20","93.700","Add","Radio Gnomi"
"21","93.900","Add","ERA Sport"
"22","94.200","Add","Lydia Filippisia"
"23","94.500","Add","Radio Thessniki"
"24","94.800","Add","Eroticos FM"
"25","95.100","Add","Cosmoradio"
"26","95.500","Add","Athlitiko Metro"
"27","95.800","Add","95.8 FM ERT 3"
"28","96.100","Add","S'Agapo 96.1"
"29","96.500","Add","Palmos 96.5"
"30","96.800","Add","Velvet 96.8"
"31","97.100","Add","Star FM"
"32","97.500","Add","Antenna 97.5"
"33","98.000","Add","Oasis 98"
"34","98.400","Add","Panorama 98.4"
"35","98.700","Add","Athlitika Nea"
"36","99.000","Add","Radio Ena"
"37","99.400","Add","Flash 99.4"
"38","99.700","Add","Radio Ekrixi"
"39","100.000","Add","FM 100"
"40","100.300","Add","Republic 100.3"
"41","100.600","Add","FM 100.6 Logou"
"42","101.000","Add","FM 101"
"43","101.300","Add","POPS 101.3"
"44","101.700","Add","Kalamaria FM"
"45","102.000","Add","102 FM ERT 3"
"46","102.300","Add","Radio Akrites"
"47","102.600","Add","Plus Radio"
"48","103.000","Add","Sport 103"
"49","103.300","Add","Mathitiko Radio"
"50","103.600","Add","Paradosiakos FM"
"51","104.000","Add","Rythmos 104"
"52","104.400","Add","Radiokymata"
"53","104.700","Add","Rock Radio"
"54","104.900","Add","Radio DETh"
"55","105.200","Add","Radio Apopsi"
"56","105.500","Add","1055 Rock"
"57","105.800","Add","Mousikos Galaxi"
"58","106.100","Add","City Interntnl"
"59","106.500","Add","Foni tis Toumpa"
"60","106.800","Add","Orthodoxi Prous"
"61","107.100","Add","Real FM"
"62","107.400","Add","Libero 107.4"
"63","107.700","Add","Peiratikos FM"
"64","108.000","Add","Mousiko Kanali4"
"101","88.000","Del","VFO"
